992;3.30E-01;0.14;4.20E-01;0.14;;992;3.30E-25;1.40E-25;4.20E-25;1.40E-25
996;3.30E-01;0.11;4.50E-01;0.12;;996;3.30E-25;1.10E-25;4.50E-25;1.20E-25
1000;3.60E-01;0.099;4.70E-01;0.11;;1000;3.60E-25;9.90E-26;4.70E-25;1.10E-25
1004;4.00E-01;0.092;4.90E-01;0.091;;1004;4.00E-25;9.20E-26;4.90E-25;9.10E-26
1008;4.60E-01;0.088;4.90E-01;0.075;;1008;4.60E-25;8.80E-26;4.90E-25;7.50E-26
1012;5.30E-01;0.084;4.80E-01;0.061;;1012;5.30E-25;8.40E-26;4.80E-25;6.10E-26
1016;6.00E-01;0.078;4.50E-01;0.048;;1016;6.00E-25;7.80E-26;4.50E-25;4.80E-26
1020;6.50E-01;0.07;4.30E-01;0.037;;1020;6.50E-25;7.00E-26;4.30E-25;3.70E-26
1024;6.50E-01;0.059;3.90E-01;0.029;;1024;6.50E-25;5.90E-26;3.90E-25;2.90E-26
1028;6.50E-01;0.049;3.50E-01;0.021;;1028;6.50E-25;4.90E-26;3.50E-25;2.10E-26
1032;6.00E-01;0.038;3.00E-01;0.015;;1032;6.00E-25;3.80E-26;3.00E-25;1.50E-26
1036;5.50E-01;0.029;2.60E-01;0.011;;1036;5.50E-25;2.90E-26;2.60E-25;1.10E-26
1040;4.90E-01;0.022;2.10E-01;0.0075;;1040;4.90E-25;2.20E-26;2.10E-25;7.50E-27
1044;4.40E-01;0.016;1.90E-01;0.0057;;1044;4.40E-25;1.60E-26;1.90E-25;5.70E-27
1048;3.90E-01;0.012;1.80E-01;0.0044;;1048;3.90E-25;1.20E-26;1.80E-25;4.40E-27
1052;3.50E-01;0.009;1.70E-01;0.0036;;1052;3.50E-25;9.00E-27;1.70E-25;3.60E-27
1056;3.30E-01;0.0072;1.60E-01;0.0029;;1056;3.30E-25;7.20E-27;1.60E-25;2.90E-27
1060;3.10E-01;0.0057;1.50E-01;0.0022;;1060;3.10E-25;5.70E-27;1.50E-25;2.20E-27
1064;3.00E-01;0.0046;1.30E-01;0.0016;;1064;3.00E-25;4.60E-27;1.30E-25;1.60E-27
1068;2.90E-01;0.0038;1.10E-01;0.0011;;1068;2.90E-25;3.80E-27;1.10E-25;1.10E-27
1072;2.70E-01;0.003;8.30E-02;7.40E-04;;1072;2.70E-25;3.00E-27;8.30E-26;7.40E-28
1076;2.60E-01;0.0024;6.40E-02;4.90E-04;;1076;2.60E-25;2.40E-27;6.40E-26;4.90E-28
1080;2.30E-01;0.0018;4.90E-02;3.10E-04;;1080;2.30E-25;1.80E-27;4.90E-26;3.10E-28
1084;2.20E-01;0.0015;3.80E-02;2.10E-04;;1084;2.20E-25;1.50E-27;3.80E-26;2.10E-28
1088;2.10E-01;0.0012;3.00E-02;1.40E-04;;1088;2.10E-25;1.20E-27;3.00E-26;1.40E-28
1092;1.90E-01;9.50E-04;2.50E-02;9.70E-05;;1092;1.90E-25;9.50E-28;2.50E-26;9.70E-29
1096;1.80E-01;7.30E-04;1.90E-02;6.50E-05;;1096;1.80E-25;7.30E-28;1.90E-26;6.50E-29
1100;1.60E-01;5.60E-04;1.60E-02;4.50E-05;;1100;1.60E-25;5.60E-28;1.60E-26;4.50E-29
1104;1.40E-01;4.20E-04;1.30E-02;3.20E-05;;1104;1.40E-25;4.20E-28;1.30E-26;3.20E-29
1108;1.20E-01;3.20E-04;1.10E-02;2.30E-05;;1108;1.20E-25;3.20E-28;1.10E-26;2.30E-29
1112;1.10E-01;2.40E-04;9.30E-03;1.70E-05;;1112;1.10E-25;2.40E-28;9.30E-27;1.70E-29
1116;9.80E-02;1.90E-04;7.80E-03;1.20E-05;;1116;9.80E-26;1.90E-28;7.80E-27;1.20E-29
1120;8.80E-02;1.40E-04;6.80E-03;9.00E-06;;1120;8.80E-26;1.40E-28;6.80E-27;9.00E-30
1124;7.60E-02;1.10E-04;6.20E-03;7.00E-06;;1124;7.60E-26;1.10E-28;6.20E-27;7.00E-30
1128;7.10E-02;8.50E-05;5.70E-03;5.50E-06;;1128;7.10E-26;8.50E-29;5.70E-27;5.50E-30
1132;6.10E-02;6.30E-05;5.20E-03;4.40E-06;;1132;6.10E-26;6.30E-29;5.20E-27;4.40E-30
1136;5.50E-02;4.90E-05;5.10E-03;3.60E-06;;1136;5.50E-26;4.90E-29;5.10E-27;3.60E-30
